EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,PIC,PIC_rsd,PIC_sd,POC,POC_rsd,POC_sd,DIC,ALK,DOC,DOC_sd,CHL,O2
EXP7,Light,Control,7-CON-D2-1,2,33.14274182,0.031258814,1.03600279,202.7107312,0.026542762,5.380502732,2149.011365,2241.57,27.0389131,12.51840956,0.88,277.272
EXP7,Light,Control,7-CON-D2-2,2,24.86920608,0.031258814,0.777381878,214.003487,0.026542762,5.680243664,2149.80947,2243.18,26.55990192,11.52116294,0.88,261.134
EXP7,Light,Control,7-CON-D2-3,2,41.35393992,0.031258814,1.292675101,218.6603515,0.026542762,5.803849711,2117.096591,2235.54,24.41139592,10.55037717,0.41,272.871
EXP7,Light,Control,7-CON-D4-1,4,20.44810693,0.031258814,0.639183564,396.3921994,0.026542762,10.52134388,2105.437797,2240.53,27.75038558,12.13240754,1.29,297.811
EXP7,Light,Control,7-CON-D4-2,4,21.05217821,0.031258814,0.658066115,389.1643078,0.026542762,10.32949568,2090.939789,2238.22,28.39141524,12.35044593,2.47,297.811
EXP7,Light,Control,7-CON-D4-3,4,30.13910629,0.031258814,0.942112707,664.7712298,0.026542762,17.64486466,2099.068295,2240.41,26.32744062,14.08847054,2.91,303.679
EXP7,Light,CaO,7-CaO-D0-1,0,46.97941419,0.031258814,1.468520753,158.2972778,0.026542762,4.201647,2079.586496,2783.38,30.00455581,13.03145952,0.07,280.206
EXP7,Light,CaO,7-CaO-D0-2,0,53.95311255,0.031258814,1.68651029,293.460396,0.026542762,7.789249504,2090.770302,2760.16,28.33506098,12.24587727,0.3,284.607
EXP7,Light,CaO,7-CaO-D0-3,0,144.8294523,0.031258814,4.527196859,50.09957899,0.026542762,1.329781211,2085.230541,2755.09,28.47829472,15.18031718,0.07,312.481
EXP7,Light,CaO,7-CaO-D2-1,2,24.01120312,0.031258814,0.750561724,158.6129591,0.026542762,4.210026054,2109.055824,2761.21,NA,28.22547369,0.23,255.266
EXP7,Light,CaO,7-CaO-D2-2,2,60.95830477,0.031258814,1.905484289,189.8732711,0.026542762,5.039761081,2076.8863,2733.09,25.76389806,11.32398888,0.1,269.937
EXP7,Light,CaO,7-CaO-D2-3,2,26.86661902,0.031258814,0.839818637,140.262275,0.026542762,3.72294821,2078.588173,2739.09,25.05242558,11.3628557,0.22,nan
EXP7,Light,CaO,7-CaO-D4-1,4,4.604857753,0.031258814,0.14394239,264.2185764,0.026542762,7.01309084,2074.771651,2739.49,25.29193116,11.57300442,2.9,287.541
EXP7,Light,CaO,7-CaO-D4-2,4,14.13040018,0.031258814,0.441699546,279.2550263,0.026542762,7.412199754,2075.42823,2743.5,NA,28.82910296,2.66,nan
EXP7,Light,CaO,7-CaO-D4-3,4,10.01347944,0.031258814,0.313009488,291.6253005,0.026542762,7.740541,2065.173288,2734.22,23.91125189,11.30053021,2.14,299.278
EXP8,Light,Control,8-CON-D0-1,0,26.65140857,0.025632511,0.683142536,232.1188077,0.01820586,4.225922598,2177.196365,2254.29,65.47751459,2.854573345,0.61,241.071
EXP8,Light,Control,8-CON-D0-2,0,25.02955057,0.025632511,0.641570243,229.8023785,0.01820586,4.183750011,2158.207701,2257.99,68.60600882,3.144462149,0.6,234.156
EXP8,Light,Control,8-CON-D0-3,0,33.56582595,0.025632511,0.860376419,375.190516,0.01820586,6.830666139,2199.889787,2255.1,64.44445209,3.982010274,0.48,233.184
EXP8,Light,Control,8-CON-D2-1,2,14.15858639,0.025632511,0.362920128,247.7561506,0.01820586,4.510613879,2257.209046,2253.53,64.2979184,2.757971163,1.31,265.195
EXP8,Light,Control,8-CON-D2-2,2,34.40436319,0.025632511,0.881870235,252.8641049,0.01820586,4.603608581,2247.200028,2251.9,70.58421361,3.478751343,0.47,268.226
EXP8,Light,Control,8-CON-D2-3,2,47.8832525,0.025632511,1.22736802,272.6550531,0.01820586,4.96391982,2249.136925,2247.21,NA,4.825535574,1.41,262.164
EXP8,Light,Control,8-CON-D4-1,4,37.71334853,0.025632511,0.96668784,355.2704933,0.01820586,6.468004988,2194.280098,2250.85,63.82168392,3.327609913,2.81,nan
EXP8,Light,Control,8-CON-D4-2,4,39.29474918,0.025632511,1.00722311,390.1044664,0.01820586,7.102187437,2146.904203,2249.29,63.20624243,3.19027582,2.49,292.472
EXP8,Light,Control,8-CON-D4-3,4,27.24852419,0.025632511,0.698448109,373.3091746,0.01820586,6.7964147,2169.971697,2258.63,65.60206822,3.847710556,2.75,289.441
EXP8,Light,CaO,8-CaO-D0-1,0,41.05585356,0.025632511,1.052364638,220.1408704,0.01820586,4.007853944,2133.26654,2878.35,68.45947514,3.359892405,0.43,239.531
EXP8,Light,CaO,8-CaO-D0-2,0,33.65414349,0.025632511,0.86264022,240.0561611,0.01820586,4.370428945,2127.983332,2864.07,64.79613294,2.991245436,0.18,244.822
EXP8,Light,CaO,8-CaO-D0-3,0,29.52629874,0.025632511,0.756833192,357.9684327,0.01820586,6.517123295,2148.458381,2865.62,67.17730537,3.193372119,0.57,nan
EXP8,Light,CaO,8-CaO-D2-1,2,45.11123216,0.025632511,1.156314177,231.0135517,0.01820586,4.205800461,2125.041247,2853.34,81.49364666,3.720106198,0.65,260.649
EXP8,Light,CaO,8-CaO-D2-2,2,39.22803467,0.025632511,1.005513049,254.1407089,0.01820586,4.626850256,2128.867082,2850.42,69.51451769,3.409878846,0.55,260.649
EXP8,Light,CaO,8-CaO-D2-3,2,58.42695611,0.025632511,1.497629624,243.0231418,0.01820586,4.424445381,2139.118402,2836.73,68.32759482,3.137317531,0.54,nan
EXP8,Light,CaO,8-CaO-D4-1,4,30.03240579,0.025632511,0.769805987,286.7993242,0.01820586,5.221428445,2161.721418,2812.63,66.21750971,3.389113321,2.2,292.472
EXP8,Light,CaO,8-CaO-D4-2,4,40.73374917,0.025632511,1.044108294,334.4729728,0.01820586,6.089368234,2135.858909,2821.87,64.35653188,5.441454934,1.5,nan
EXP8,Light,CaO,8-CaO-D4-3,4,46.39096045,0.025632511,1.189116827,293.2272187,0.01820586,5.338453795,2129.76602,2855.16,60.97160369,2.756702219,1.28,278.833
